nan,nan
nan,nan
6.808236864554422230e-01,5.636772842874917533e-01
nan,nan
nan,nan
6.127828256840117671e-01,3.617830670068553633e-01
8.292623503851633826e-01,7.503715091757505729e-01
nan,nan
1.408743141190882397e-02,1.623591410649516398e-02
nan,nan
nan,nan
6.368982779886416257e-01,5.721154046340928279e-01
nan,nan
6.082989873510395995e-01,6.295560062428668946e-01
3.390124796624327530e-01,6.189020830164253528e-01
4.837825658044025978e-03,2.676575208350739921e-03
1.284223154750997464e-01,nan
nan,nan
nan,nan
3.491683016379996118e-01,1.884716863683736365e-01
nan,nan
nan,nan
nan,nan
nan,nan
8.152573212990684715e-01,nan
nan,nan
nan,nan
1.288036637718736888e-01,8.835423910853301699e-02
4.857548171242811463e-01,2.604459736817905657e-01
5.132606430744549586e-01,nan
9.528272121659192573e-01,8.600503911479054908e-01
2.935007920280874316e-02,8.958624074315302277e-02
5.451345168189409840e-01,nan
5.438900581938324041e-01,7.854534684156118107e-01
4.007333256473877281e-01,nan
nan,nan
nan,nan
nan,nan
4.687518355133842851e-01,4.820270523479253111e-01
5.842296070928343354e-03,3.149916692470122737e-02
2.534410760348704272e-02,2.738288523144338793e-02
nan,nan
9.780102437132356386e-01,9.887737252432998725e-01
nan,nan
3.813972802365208636e-01,7.792970130746799118e-01
3.642756525842351101e-01,2.495646955056602945e-01
1.054488796771169135e-02,3.581127342232925947e-03
8.372177858586344890e-01,7.593949807326179080e-01
nan,nan
