n_space,mc,volume,length_scale,mac_spatial,mu_mac_spatial,std_mac_spatial
100,0.5,718727551.5795674,119.71775422392786,0.14864704360808456,-0.027777777777777776,0.09304842103984709
200,0.5,718727551.5795674,95.02004449716672,0.22954750995164727,-0.01680672268907563,0.07018624063435965
400,0.5,718727551.5795674,75.41745929643379,0.2508203183017388,-0.010309278350515464,0.0524863881081478
800,0.5,718727551.5795674,59.85887711196393,0.2357922239835144,-0.006644518272425249,0.04047223292581765
1600,0.5,718727551.5795674,47.51002224858336,0.27883534392843357,-0.004434589800443459,0.032555850669650596
3200,0.5,718727551.5795674,37.708729648216895,0.3049476027373484,-0.0028694404591104736,0.02589335771683207
6400,0.5,718727551.5795674,29.929438555981964,0.32292837111673334,-0.001890359168241966,0.021176177494381335
12800,0.5,718727551.5795674,23.75501112429168,0.3979094608254203,-0.001226993865030675,0.017228580422595965
25600,0.5,718727551.5795674,18.854364824108448,0.3812232010382025,-0.0008525149190110827,0.01442474408026385
51200,0.5,718727551.5795674,14.964719277990984,0.41181697383813787,-0.0006153846153846154,0.012601816556767176
